cve_id,cvss_base_score,days_since_disclosure,cwe_ids,exploit_available,public_facing,data_sensitivity,has_patch,attack_vector_ADJACENT_NETWORK,attack_vector_LOCAL,attack_vector_NETWORK,attack_vector_PHYSICAL,attack_complexity_HIGH,attack_complexity_LOW,privileges_required_HIGH,privileges_required_LOW,privileges_required_NONE,user_interaction_NONE,user_interaction_REQUIRED,scope_CHANGED,scope_UNCHANGED,confidentiality_impact_HIGH,confidentiality_impact_LOW,confidentiality_impact_NONE,integrity_impact_HIGH,integrity_impact_LOW,integrity_impact_NONE,availability_impact_HIGH,availability_impact_LOW,availability_impact_NONE,risk_score
CVE-2013-3660,7.8,0,"CWE-119,CWE-119",1,0,2,0,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,8.780000000000001
CVE-2013-3735,7.5,0,CWE-20,0,0,1,1,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,False,5.33
CVE-2013-2128,5.5,0,CWE-400,0,0,0,0,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,4.2
CVE-2011-1180,9.8,0,CWE-787,1,0,0,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,8.92
CVE-2011-2482,7.5,0,CWE-476,0,0,1,0,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,False,5.33
CVE-2011-4087,7.5,0,CWE-665,0,0,2,0,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,False,5.66
CVE-2013-1331,7.8,0,"CWE-120,CWE-120",0,1,1,0,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,6.45
CVE-2013-2465,9.8,0,CWE-693,1,1,2,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,10.0
CVE-2013-1690,8.8,0,"CWE-119,CWE-119",1,0,0,0,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,8.52
CVE-2013-4786,7.5,0,CWE-255,1,0,0,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,True,8.0
